uri,artis_judulLagu,Label
1HT7YpdOHJJBHLOdJMuksc,Endah N Rhesa - When You Love Someone,i love you but it' not so easi to make you here with me i wanna touch and hold you forev but you'r still in my dream and i can't stand to wait 'til night is come to my life but i still have a time to break a silenc when you love someon just be brave to say that you want him to be with you when you hold your love don't ever let it go or you will lose your chanc to make your dream come true i use to hide and watch you from a distanc and i knew you realiz ... endahnrhesa indonesianfolk indonesianfolkpop indonesianindi
5tqlMABsdJTo2ng2PnBkoT,Stars and Rabbit - Man Upon the Hill,"hey man upon the hill, up here i use to write you you love the way i watch the sun through my finger we spent sometim to the day we met can i fall into your constellation? ah-ah-ah-ah-ah ah ah-ah-ah-ah ah ah-ah-ah-ah ah i ah-ah-ah-ah-ah ah ah-ah-ah-ah ah ah-ah-ah-ah ah i we drove in the wind open the window wave to noth ... starsandrabbit indonesianfolk indonesianindi indonesianindiepop"
0MAIxtXWimwhAAQOST9jp7,Adhitia Sofyan - Sesuatu Di Jogja,hey cantik coba kau catat keretaku tiba pukul empat sore tak usah kau tanya aku ceritakan nanti hey cantik ke mana saja tak ada berita sedikit cerita tak kubaca lagi pesan di ujung malam dan jakarta muram kehilanganmu terang lampu kota tak lagi sama sudah saatnya kau tengok pu yang tertingg sampai kapan akan selalu berlari hingga kini masih selalu kunanti-nanti terbawa lagi langkahku ke sana mantra apa entah yang istimewa kupercaya selalu ada sesuatu di jogja ... adhitiasofyan indonesianfolk indonesianfolkpop indonesianindi indonesiansinger-songwrit
0yyRL7Rxr4oJ6uI7DYe2OT,Efek Rumah Kaca - Desember,s'lalu ada yang bernyanyi dan berelegi di balik awan hitam s'moga ada yang menerangi sisi gelap ini menanti seperti p'langi setia menunggu hujan reda aku selalu suka sehabi hujan di bulan desemb di bulan desemb s'lalu ada yang bernyanyi dan berelegi ... efekrumahkaca indonesianalternativerock indonesianindi indonesianindierock
0urpBLpcm6DOGzs86rcKd8,Payung Teduh - Untuk Perempuan Yang Sedang Di Pelukan,tak terasa gelap pun jatuh di ujung malam menuju pagi yang dingin hanya ada sedikit bintang malam ini mungkin kar'na kau sedang cantik-cantiknya lalu mataku merasa malu semakin dalam ia malu kali ini kadang juga ia takut tatkala haru berpapasan di tengah di pelariannya di malam hari menuju pagi sedikit cema ... payungteduh indonesianfolk indonesianindi indonesianpop indonesiansinger-songwrit
3843qh8Ih59FwSCDzPigNU,Adhitia Sofyan - Adelaide Sky,i need to know what' on your mind these coffe cup are get cold mind the peopl pass by they don't know i'll be leav soon i'll fli away tomorrow to far away i'll admit a clich� thing won't be the same without you i'll be look out my window see adelaid sky would you be kind enough to remember? and i'll be hear my own foot step under adelaid sky would you be kind enough to rememb me? ... adhitiasofyan indonesianfolk indonesianfolkpop indonesianindi indonesiansinger-songwrit
3M0RfjqAJZ1f6qXJkP1Uej,Efek Rumah Kaca - Sebelah Mata,"sebelah mataku yang mampu melihat bercak adalah sebuah warna-warna mempesona membaur suara, dibawanya kegetiran begitu ase terdengar sebelah mataku yang mempelajari gelombang 'kan mengisi seluruh ruang tubuhku terbentuk dari sel aku dan tiap tete adalah sebuah prose yang alami tapi sebelah mataku yang lain menyadari ... efekrumahkaca indonesianalternativerock indonesianindi indonesianindierock"
7tZ69fC235bauF9Dyxk8Ps,Payung Teduh - Berdua Saja,ada yang tak sempat tergambarkan oleh kata ketika kita berdua hanya aku yang bisa bertanya mungkinkah kau tahu jawabnya? malam jadi saksinya kita berdua di antara kata yang tak terucap ... payungteduh indonesianfolk indonesianindi indonesianpop indonesiansinger-songwrit
1k5vv2ood14aa5uBYWBlWh,Payung Teduh - Resah,pa-ra-ra-ra-ra pa-ra-ra-ra-ra pa-ra-ra-ra-ra pa-ra-ra-ra-ra pa-ra-ra-ra-ra pa-ra-ra-ra-ra oh-oh-oh aku ingin berjalan bersamamu dalam hujan dan malam gelap tapi aku tak bisa melihat matamu aku ingin berdua denganmu ... payungteduh indonesianfolk indonesianindi indonesianpop indonesiansinger-songwrit
64YjjOv1yfygQwJO45l2ve,Fiersa Besari - Kau,kutitip rindu di sela malam berharap esok pagi kauambil di sudut langit menaruh angan dalam warnamu tak hendak kulepaskan kenangan yang merantaiku ... fiersabesari bandungindi indonesianfolkpop indonesianindi indonesianpop indonesianpoppunk
31DB7WsYqarEOUSQUzMLt8,Fiersa Besari - April,coba tanya hatimu sekali lagi sebelum engkau benar-benar pergi masih kah ada aku di dalamnya? karena hatiku masih menyimpanmu kisah kita memang baru sebentar namun kesan terukir sangat indah ku memang bukan manusia sempurna tapi tak pernah berhenti mencoba membuatmu tersenyum walau tak pernah berbala bahagiamu juga bahagiaku saat kau terlalu rapuh pundak siapa yang tersandar? tangan siapa yang tak melepas? ... fiersabesari bandungindi indonesianfolkpop indonesianindi indonesianpop indonesianpoppunk
4UucLisbPzUcqYCE6cQX2z,Adhitia Sofyan - Forget Jakarta,"i'm wait in line to get to where you are hope float up high along the way i forget jakarta all the friendli face in disguis thi time, i'm close down thi fairytal and i put all my heart to get to where you are and maybe, it' time to move away i forget jakarta and all the empti promis will fall thi time, i'm gone to where thi journey end but if you'll stay, i will stay even though the town' not what it use to be and piec of your life you tri to recogn all went down ... adhitiasofyan indonesianfolk indonesianfolkpop indonesianindi indonesiansinger-songwrit"
